STATE,COUNTY,MONTH,DAY,HOUR,MINUTE,VE_TOTAL,PERSONS,PEDS,NHS,ROAD_FNC,ROUTE,SP_JUR,HARM_EV,MAN_COLL,REL_JUNC,REL_ROAD,TRAF_FLO,NO_LANES,SP_LIMIT,ALIGNMNT,PROFILE,PAVE_TYP,SUR_COND,TRA_CONT,T_CONT_F,HIT_RUN,LGT_COND,WEATHER1,WEATHER2,C_M_ZONE,NOT_HOUR,NOT_MIN,ARR_HOUR,ARR_MIN,HOSP_HR,HOSP_MN,SCH_BUS,CF1,CF2,CF3,FATALS,DAY_WEEK,DRUNK_DR,ST_CASE,CITY,MILEPT,YEAR,TWAY_ID,TWAY_ID2,RAIL,LATITUDE,LONGITUD,VE_FORMS,WEATHER
1,65,2,4,21,10,2,5,0,0,4,3,0,12,4,2,1,1,2,55,2,1,2,1,20,3,0,2,1,0,0,99,99,21,32,99,99,0,0,0,0,5,1,1,10064,0,81,2007,sr-61,7595,0,32334941,87314172,2,1
1,25,2,4,4,30,1,3,0,0,4,2,0,35,0,1,4,2,2,65,1,2,2,1,0,0,0,2,1,0,0,99,99,5,20,99,99,0,0,0,0,2,1,0,10065,0,847,2007,US-SR13,1E+20,0,31483682,87451116,1,1
1,121,2,5,12,0,2,2,0,0,12,3,0,12,8,1,1,1,2,35,1,1,2,1,0,0,0,1,1,0,1,99,99,12,10,0,0,0,0,0,0,1,2,0,10066,0,2485,2007,sr-21,1E+20,0,33345337,85505710,2,1
1,73,2,3,22,40,1,2,0,0,19,6,0,42,0,1,5,1,2,35,2,2,2,1,0,0,0,2,1,0,0,22,40,22,49,99,99,0,0,0,0,1,7,1,10067,330,0,2007,1522,0,0,33233435,87012926,1,1
1,3,2,2,8,0,1,1,0,0,4,4,0,34,0,1,4,1,2,40,2,2,2,2,0,0,0,1,1,0,0,8,6,8,17,0,0,0,0,0,0,1,6,0,10068,0,0,2007,1874,0,0,31010740,87391430,1,1
1,97,2,4,0,30,1,1,0,0,4,3,0,32,0,1,4,1,2,55,1,2,2,1,0,0,0,2,1,0,0,0,32,0,40,99,99,0,0,0,0,1,1,0,10069,0,101,2007,SR-217,0,0,30493571,88154786,1,1
1,97,2,4,6,15,1,2,0,0,6,4,0,34,0,1,4,1,2,45,2,2,2,1,0,0,0,4,1,0,0,6,45,6,50,99,99,0,0,0,0,1,1,1,10070,0,0,2007,1811,0,0,31081021,88050017,1,1
1,95,2,3,8,10,1,3,0,0,3,3,0,32,0,1,2,1,2,55,1,1,2,1,0,0,0,1,1,0,0,8,10,8,22,99,99,0,0,0,0,1,7,0,10071,0,588,2007,SR-79,0,0,34153301,86230037,1,1
1,51,2,3,8,45,1,2,0,0,4,4,0,35,0,1,4,1,2,45,1,2,2,1,0,0,0,1,1,0,0,99,99,9,0,99,99,0,0,0,0,1,7,1,10072,0,0,2007,1109,0,0,32314636,86075202,1,1
1,73,2,11,14,40,2,5,0,1,11,1,0,1,0,1,3,2,4,70,1,1,2,1,0,0,0,1,1,0,0,14,43,14,46,99,99,0,14,0,0,2,1,0,10073,330,1100,2007,I-20,0,0,33232086,86591085,2,1
1,97,2,19,3,59,1,3,0,1,11,1,0,29,0,1,4,3,2,65,1,1,2,1,0,0,0,3,1,0,0,3,59,4,4,99,99,0,0,0,0,3,2,0,10074,2100,60,2007,I-65,0,0,30434110,88071199,1,1
1,97,2,20,15,54,1,2,1,0,15,6,0,8,0,2,1,1,2,25,1,1,2,1,20,3,2,1,1,0,0,15,54,16,0,0,0,0,0,0,0,1,3,0,10075,2100,0,2007,6974,4354,0,30413797,88034026,1,1
1,73,2,24,2,25,1,1,0,1,11,1,0,1,0,1,1,2,2,70,2,2,2,1,0,0,0,2,1,0,0,2,30,2,43,99,99,0,0,0,0,1,7,0,10076,330,1145,2007,I-20,0,0,33265736,86571940,1,1
1,97,3,1,18,48,1,2,1,0,12,2,0,8,0,1,1,2,2,40,1,1,2,2,0,0,0,3,1,0,0,18,50,18,55,99,99,0,0,0,0,1,5,1,10077,2100,0,2007,US-SR42,0,0,30422308,88071827,1,1
1,97,3,2,11,40,1,1,0,1,12,2,0,27,0,1,4,1,4,40,1,1,2,1,0,0,0,1,1,0,0,11,40,11,42,0,0,0,0,0,0,1,6,0,10078,2100,0,2007,US-SR42,0,0,30422822,88072620,1,1
1,97,3,4,11,56,1,1,0,0,14,6,0,42,0,1,4,1,2,35,1,1,2,1,0,0,0,1,1,0,0,11,56,11,58,0,0,0,0,0,0,1,1,0,10079,2100,0,2007,7016,0,0,30415393,88033750,1,1
1,83,2,6,19,10,1,1,0,0,6,4,0,32,0,8,4,1,2,45,1,1,2,1,0,0,0,2,1,0,0,19,10,19,15,0,0,0,0,0,0,1,3,1,10080,0,0,2007,1339,0,0,34502442,86495421,1,1
1,109,2,7,2,30,2,2,0,1,2,2,0,12,2,1,1,1,5,55,1,1,2,1,0,0,0,2,1,0,0,2,35,2,51,99,99,0,0,0,0,1,4,0,10081,0,600,2007,US-SR53,0,0,31384262,85483633,2,1
1,9,2,7,15,30,1,1,0,0,2,3,0,1,0,1,1,2,4,65,1,1,2,1,0,0,0,1,1,0,0,15,36,15,40,0,0,0,0,0,0,1,4,0,10082,0,224,2007,SR-75,0,0,33515202,86331022,1,1
1,77,2,8,7,45,2,2,0,0,6,4,0,12,2,1,1,1,2,45,2,2,2,1,0,0,0,1,1,0,0,7,47,8,10,99,99,0,0,0,0,1,5,0,10083,0,0,2007,2115,0,0,34515895,87453212,2,1
